Name,Symbol,Date,Open,High,Low,Close,Volume,Adj Close
NYSE,Cli,2017-02-10,811.700012,815.25,809.780029,813.669983,1129100,813.669983
NYSE,Cli,2017-02-09,809.51001,810.659973,804.539978,809.559998,989700,809.559998
NYSE,Cli,2017-02-08,807,811.840027,803.190002,808.380005,1155300,808.380005
NYSE,Cli,2017-02-07,803.98999,810.5,801.780029,806.969971,1235200,806.969971
NYSE,Cyt,2017-02-06,799.700012,801.669983,795.25,801.340027,1174200,801.340027
NYSE,Cyt,2017-02-03,802.98999,806,800.369995,801.48999,1460400,801.48999
DEXO,Cyt,2017-02-02,793.799988,802.700012,792,798.530029,1525800,798.530029
DEXO,Cyt,2017-02-01,799.679993,801.190002,791.190002,795.695007,2023300,795.695007
DEXO,cmp,2017-01-31,796.859985,801.25,790.52002,796.789978,2143500,796.789978
DOLE,cmp,2017-01-30,814.659973,815.840027,799.799988,802.320007,3246600,802.320007
DOLE,cmp,2017-01-27,834.710022,841.950012,820.440002,823.309998,2965800,823.309998
DOLE,cmp,2017-01-26,837.809998,838,827.01001,832.150024,2973900,832.150024
DOLE,cjt,2017-01-25,829.619995,835.77002,825.059998,835.669983,1494500,835.669983
NYSE,cmp,2017-01-24,822.299988,825.900024,817.820984,823.869995,1474000,823.869995
NYSE,cmp,2017-01-23,807.25,820.869995,803.73999,819.309998,1963600,819.309998
NYSE,cmp,2017-01-20,806.909973,806.909973,801.690002,805.02002,1670000,805.02002
NYSE,Cli,2017-01-19,805.119995,809.47998,801.799988,802.174988,919300,802.174988
CATO,Cli,2017-01-18,805.809998,806.205017,800.98999,806.070007,1294400,806.070007
CATO,Cyt,2017-01-17,807.080017,807.140015,800.369995,804.609985,1362100,804.609985
CATO,Cyt,2017-01-13,807.47998,811.223999,806.690002,807.880005,1099200,807.880005
CATO,Cyt,2017-01-12,807.140015,807.390015,799.169983,806.359985,1353100,806.359985
CATO,Cyt,2017-01-11,805,808.150024,801.369995,807.909973,1065900,807.909973
CATO,Cli,2017-01-10,807.859985,809.130005,803.51001,804.789978,1176800,804.789978
CATO,Cli,2017-01-09,806.400024,809.966003,802.830017,806.650024,1272400,806.650024
DOLE,Cli,2017-01-06,795.26001,807.900024,792.203979,806.150024,1640200,806.150024
DOLE,cmp,2017-01-05,786.080017,794.47998,785.02002,794.02002,1335200,794.02002
DOLE,cmp,2017-01-04,788.359985,791.340027,783.159973,786.900024,1073000,786.900024
DOLE,cmp,2017-01-03,778.809998,789.630005,775.799988,786.140015,1657300,786.140015
DOLE,cmp,2016-12-30,782.75,782.780029,770.409973,771.820007,1770000,771.820007
DOLE,cmp,2016-12-29,783.330017,785.929993,778.919983,782.789978,744300,782.789978
CATO,cmp,2016-12-28,793.700012,794.22998,783.200012,785.049988,1153800,785.049988
CATO,cmp,2016-12-27,790.679993,797.859985,787.656982,791.549988,789100,791.549988
CATO,cmp,2016-12-23,790.900024,792.73999,787.280029,789.909973,623400,789.909973
NYSE,cmp,2016-12-22,792.359985,793.320007,788.580017,791.26001,972200,791.26001
NYSE,cmp,2016-12-21,795.840027,796.676025,787.099976,794.559998,1211300,794.559998
NYSE,cmp,2016-12-20,796.76001,798.650024,793.27002,796.419983,951000,796.419983
NYSE,cmp,2016-12-19,790.219971,797.659973,786.27002,794.200012,1232100,794.200012
NYSE,Cli,2016-12-16,800.400024,800.856018,790.289978,790.799988,2443800,790.799988
NYSE,Cli,2016-12-15,797.340027,803,792.919983,797.849976,1626500,797.849976
CATO,Cli,2016-12-14,797.400024,804,794.01001,797.070007,1704200,797.070007
CATO,Cli,2016-12-13,793.900024,804.380005,793.340027,796.099976,2145200,796.099976
CATO,Cli,2016-12-12,785.039978,791.25,784.35498,789.27002,2104100,789.27002
CATO,Cli,2016-12-09,780,789.429993,779.020996,789.289978,1821900,789.289978
CATO,Cli,2016-12-08,772.47998,778.179993,767.22998,776.419983,1488100,776.419983
CATO,Cli,2016-12-07,761,771.359985,755.799988,771.190002,1761000,771.190002
CATO,Cyt,2016-12-06,764.72998,768.830017,757.340027,759.109985,1690700,759.109985
CATO,Cyt,2016-12-05,757.710022,763.900024,752.900024,762.52002,1394200,762.52002
CATO,Cyt,2016-12-02,744.590027,754,743.099976,750.5,1452500,750.5
CATO,Cyt,2016-12-01,757.440002,759.849976,737.025024,747.919983,3017900,747.919983
CATO,Cyt,2016-11-30,770.070007,772.98999,754.830017,758.039978,2392900,758.039978
CATO,Cyt,2016-11-29,771.530029,778.5,768.23999,770.840027,1616600,770.840027
CATO,Cyt,2016-11-28,760,779.530029,759.799988,768.23999,2188200,768.23999
CATO,Cli,2016-11-25,764.26001,765,760.52002,761.679993,587400,761.679993
CATO,Cli,2016-11-23,767.72998,768.28302,755.25,760.98999,1478400,760.98999
CATO,Cmp,2016-11-22,772.630005,776.960022,767,768.27002,1593100,768.27002
CATO,Cmp,2016-11-21,762.609985,769.700012,760.599976,769.200012,1330600,769.200012
DEXO,Cmp,2016-11-18,771.369995,775,760,760.539978,1547100,760.539978
DEXO,Cmp,2016-11-17,766.919983,772.700012,764.22998,771.22998,1304000,771.22998
DEXO,Cmp,2016-11-16,755.200012,766.359985,750.51001,764.47998,1472600,764.47998
DEXO,Cmp,2016-11-15,746.969971,764.416016,746.969971,758.48999,2384000,758.48999
DEXO,Cmp,2016-11-14,755.599976,757.849976,727.539978,736.080017,3654400,736.080017
DEXO,Cmp,2016-11-11,756.539978,760.780029,750.380005,754.02002,2431800,754.02002
DEXO,Cmp,2016-11-10,791.169983,791.169983,752.179993,762.559998,4745200,762.559998
DEXO,Cmp,2016-11-09,779.940002,791.22699,771.669983,785.309998,2607100,785.309998
DEXO,Cmp,2016-11-08,783.400024,795.632996,780.190002,790.51001,1366900,790.51001
DEXO,cjt,2016-11-07,774.5,785.190002,772.549988,782.52002,1585100,782.52002
DEXO,cjt,2016-11-04,750.659973,770.359985,750.560974,762.02002,2134800,762.02002
NYSE,cjt,2016-11-03,767.25,769.950012,759.030029,762.130005,1943200,762.130005
NYSE,cjt,2016-11-02,778.200012,781.650024,763.450012,768.700012,1872400,768.700012
NYSE,cjt,2016-11-01,782.890015,789.48999,775.539978,783.609985,2406400,783.609985
NYSE,cjt,2016-10-31,795.469971,796.859985,784,784.539978,2427300,784.539978
NYSE,cjt,2016-10-28,808.349976,815.48999,793.590027,795.369995,4269900,795.369995
NYSE,cjt,2016-10-27,801,803.48999,791.5,795.349976,2749200,795.349976
NYSE,cjt,2016-10-26,806.340027,806.97998,796.320007,799.070007,1647700,799.070007
NYSE,cjt,2016-10-25,816.679993,816.679993,805.140015,807.669983,1576400,807.669983
NYSE,cjt,2016-10-24,804.900024,815.179993,804.820007,813.109985,1697500,813.109985
NYSE,Cmp,2016-10-21,795,799.5,794,799.369995,1266200,799.369995
NYSE,Cmp,2016-10-20,803.299988,803.969971,796.030029,796.969971,1757500,796.969971
NYSE,Cmp,2016-10-19,798.23999,804.599976,798.030029,801.5,1766800,801.5
NYSE,Cmp,2016-10-18,787.849976,801.609985,785.565002,795.26001,2056900,795.26001
DOLE,Cmp,2016-10-17,779.799988,785.849976,777.5,779.960022,1093000,779.960022
DOLE,Cmp,2016-10-14,781.650024,783.950012,776,778.530029,852500,778.530029
DOLE,Cmp,2016-10-13,781.219971,781.219971,773,778.190002,1365300,778.190002
DOLE,Cmp,2016-10-12,783.76001,788.130005,782.059998,786.140015,937400,786.140015
DOLE,Cmp,2016-10-11,786.659973,792.280029,780.580017,783.070007,1372500,783.070007
DOLE,Cmp,2016-10-10,777.710022,789.380005,775.869995,785.940002,1174900,785.940002
DOLE,Cmp,2016-10-07,779.659973,779.659973,770.75,775.080017,933200,775.080017
DOLE,Cmp,2016-10-06,779,780.47998,775.539978,776.859985,1070700,776.859985
DOLE,Cmp,2016-10-05,779.309998,782.070007,775.650024,776.469971,1461200,776.469971
DOLE,Cmp,2016-10-04,776.030029,778.710022,772.890015,776.429993,1201400,776.429993
DOLE,Cmp,2016-10-03,774.25,776.065002,769.5,772.559998,1278800,772.559998
DOLE,Cmp,2016-09-30,776.330017,780.940002,774.090027,777.289978,1585300,777.289978
CATO,Cmp,2016-09-29,781.440002,785.799988,774.231995,775.01001,1314700,775.01001
CATO,Cmp,2016-09-28,777.849976,781.809998,774.969971,781.559998,1109800,781.559998
CATO,Cmp,2016-09-27,775.5,785.98999,774.307983,783.01001,1153200,783.01001
CATO,Cmp,2016-09-26,782.73999,782.73999,773.070007,774.210022,1533200,774.210022
CATO,Cmp,2016-09-23,786.590027,788.929993,784.150024,786.900024,1411900,786.900024
CATO,Cmp,2016-09-22,780,789.849976,778.440002,787.210022,1486200,787.210022
CATO,Cmp,2016-09-21,772.659973,777.159973,768.301025,776.219971,1167800,776.219971
CATO,Cmp,2016-09-20,769,773.330017,768.530029,771.409973,978600,771.409973
CATO,Cmp,2016-09-19,772.419983,774,764.440979,765.700012,1172800,765.700012
CATO,Cjt,2016-09-16,769.75,769.75,764.659973,768.880005,2049300,768.880005
CATO,Cjt,2016-09-15,762.890015,773.799988,759.960022,771.76001,1305100,771.76001
DEXO,Cjt,2016-09-14,759.609985,767.679993,759.109985,762.48999,1087400,762.48999
DEXO,Cjt,2016-09-13,764.47998,766.219971,755.799988,759.690002,1395000,759.690002
DEXO,Cmp,2016-09-12,755.130005,770.289978,754,769.02002,1311000,769.02002
DEXO,Cmp,2016-09-09,770.099976,773.244995,759.659973,759.659973,1885500,759.659973
DEXO,Cmp,2016-09-08,778.590027,780.349976,773.580017,775.320007,1270300,775.320007
DEXO,Cmp,2016-09-07,780,782.72998,776.200012,780.349976,893700,780.349976
DEXO,Cmp,2016-09-06,773.450012,782,771,780.080017,1442800,780.080017
DEXO,Cmp,2016-09-02,773.01001,773.919983,768.409973,771.460022,1072700,771.460022
DEXO,Cyt,2016-09-01,769.25,771.02002,764.299988,768.780029,925100,768.780029
DEXO,Cyt,2016-08-31,767.01001,769.090027,765.380005,767.049988,1248600,767.049988
DEXO,Cyt,2016-08-30,769.330017,774.466003,766.840027,769.090027,1130000,769.090027
